emp_no,duty_date,work_type_code,note
1002,2026-07-01,주,
1002,2026-07-02,OFF,
1002,2026-07-03,주,
1002,2026-07-04,주,
1002,2026-07-05,야,
1002,2026-07-06,야,
1002,2026-07-07,OFF,
1002,2026-07-08,주,
1002,2026-07-09,주,
1002,2026-07-10,야,
1002,2026-07-11,OFF,
1002,2026-07-12,주,
1003,2026-07-01,주,
1003,2026-07-02,주,
1003,2026-07-03,야,
1003,2026-07-04,야,
1003,2026-07-05,OFF,
1003,2026-07-06,OFF,
1003,2026-07-07,주,
1003,2026-07-08,주,
1003,2026-07-09,야,
1003,2026-07-10,야,
1003,2026-07-11,OFF,
1003,2026-07-12,OFF,
1004,2026-07-01,야,
1004,2026-07-02,야,
1004,2026-07-03,OFF,
1004,2026-07-04,주,
1004,2026-07-05,주,
1004,2026-07-06,야,
1004,2026-07-07,야,
1004,2026-07-08,OFF,
1004,2026-07-09,주,
1004,2026-07-10,주,
1004,2026-07-11,야,
1004,2026-07-12,OFF,
1005,2026-07-01,OFF,
1005,2026-07-02,주,
1005,2026-07-03,주,
1005,2026-07-04,야-4,
1005,2026-07-05,야,
1005,2026-07-06,OFF,
1005,2026-07-07,주,
1005,2026-07-08,특주,
1005,2026-07-09,연차,
1005,2026-07-10,야,
1005,2026-07-11,OFF,
1005,2026-07-12,주,
1007,2026-07-01,야,
1007,2026-07-02,OFF,
1007,2026-07-03,주,
1007,2026-07-04,주,
1007,2026-07-05,야,
1007,2026-07-06,야,
1007,2026-07-07,OFF,
1007,2026-07-08,주,
1007,2026-07-09,야,
1007,2026-07-10,OFF,
1007,2026-07-11,주,
1007,2026-07-12,야,
